CASE ID,Activity,current
20188007618,Request completed with account closure,2386867.0
20188007626,Request completed with account closure,1694811.0
20188007641,Request completed with account closure,3162728.0
20188007674,Request completed with account closure,6215914.0
20188007699,Request completed with account closure,1951373.0
20188007714,Request completed with account closure,1864390.0
20188007764,Request completed with account closure,1943024.0
20188007775,Request completed with account closure,1424730.0
20188007821,Request deleted,1962468.0
20188007877,Request completed with account closure,1967930.0
20188007919,Request completed with account closure,7145035.0
20188007936,Request completed with account closure,1576702.0
20188007943,Request completed with account closure,1791850.0
20188007990,Request completed with account closure,2306945.0
20188008001,Request completed with account closure,1789268.0
20188008008,Request completed with account closure,2565707.0
20188008065,Request completed with account closure,1570584.0
20188008072,Request completed with account closure,2562303.0
20188008075,Request completed with account closure,2238371.0
20188008083,Request completed with account closure,3446251.0
20188008109,Request completed with account closure,1783114.0
20188008125,Request completed with account closure,1782324.0
20188008151,Request completed with account closure,11020812.0
20188008168,Request completed with account closure,1951962.0
20188008170,Request completed with account closure,1865735.0
20188008184,Request completed with account closure,1800750.0
20188008259,Request completed with account closure,1553165.0
20188008261,Request completed with account closure,1790606.0
20188008277,Request completed with account closure,1765384.0
20188008283,Request completed with account closure,1874303.0
20188008288,Request completed with account closure,1852302.0
20188008304,Request completed with account closure,1710225.0
20188008330,Request completed with account closure,1533268.0
20188008335,Request completed with account closure,1707805.0
20188008339,Request completed with account closure,2224682.0
20188008348,Request completed with account closure,4556727.0
20188008376,Request deleted,3484324.0
20188008393,Request completed with account closure,1703256.0
20188008397,Request completed with account closure,1636873.0
20188008411,Request completed with account closure,4638466.0
20188008423,Request completed with account closure,2305121.0
20188008428,Request completed with account closure,4137745.0
20188008454,Request completed with account closure,1699750.0
20188008457,Request completed with account closure,2216068.0
